work,source_type,source_ref,place_text,normalized_place,place_type,city,region,country,confidence,context
Lieux,pdf,728,Paris,paris,city,Paris,,France,0.900,Je me ramène de Tunis à Paris.
Lieux,pdf,728,place d’Italie,place d'italie,landmark,Paris,,France,0.800,Je passe place d’Italie.
Lieux,pdf,728,Nice,nice,city,Nice,,France,0.900,"Cette année pour Nice, Genève et Tunis."
Lieux,pdf,728,Genève,geneva,city,Geneva,,Switzerland,0.900,"Cette année pour Nice, Genève et Tunis."
Lieux,pdf,728,avenue de Ségur,avenue de segur,street,Paris,,France,0.800,Quand j’habitais avenue de Ségur.
Lieux,pdf,728,Gobelins,gobelins,district,Paris,,France,0.700,Je vais assez souvent aux Gobelins.
Lieux,pdf,728,Seine,seine,river,,,France,0.900,"C’est là en tout cas que se trouve, au bord de la Seine."
Lieux,pdf,728,Faidherbe,faidherbe,other,Paris,,France,0.600,Faidherbe – changer à Daumesnil.
Lieux,pdf,728,Daumesnil,daumesnil,other,Paris,,France,0.600,Faidherbe – changer à Daumesnil.
Lieux,pdf,728,Sèvres-Lecourbe,sevres-lecourbe,other,Paris,,France,0.600,Descendre à Sèvres-Lecourbe.
Lieux,pdf,729,Corvisart,Corvisart,street,Paris,Île-de-France,France,0.900,Reference to a nearby metro station.
Lieux,pdf,729,La Maison d’étudiants,Maison d'étudiants,building,,,,0.500,Mentioned as a place where Michel Rigout lived.
Lieux,pdf,729,place d’Italie,place d'Italie,landmark,Paris,Île-de-France,France,0.900,A location where the author has not much to do.
Lieux,pdf,729,avenue des Gobelins,avenue des Gobelins,street,Paris,Île-de-France,France,0.900,Location where the author went to see a film.
Lieux,pdf,729,Jaunay-Clan,Jaunay-Clan,city,Jaunay-Clan,Nouvelle-Aquitaine,France,0.800,Place where the author spent fifteen days.
Lieux,pdf,729,rue Blainville,rue Blainville,street,Paris,Île-de-France,France,0.700,Mentioned as having transformed into a cinema.
Lieux,pdf,729,Lyon,Lyon,city,Lyon,Auvergne-Rhône-Alpes,France,0.900,Reference made to the author's location.
Lieux,pdf,729,boulevard Saint-Germain,boulevard Saint-Germain,street,Paris,Île-de-France,France,0.800,Mentions a café located at its corner.
Lieux,pdf,729,rue du Bac,rue du Bac,street,Paris,Île-de-France,France,0.800,Part of the location of a café.
Lieux,pdf,730,Souillac,Souillac,city,Souillac,Occitanie,France,0.900,Mentioned as a place visited often.
Lieux,pdf,730,place d’Italie,Place d'Italie,landmark,Paris,Île-de-France,France,0.950,Referenced in relation to a demonstration and travel.
Lieux,pdf,730,rue Monge,Rue Monge,street,Paris,Île-de-France,France,0.850,Mentioned in the context of a demonstration.
Lieux,pdf,730,avenue des Gobelins,Avenue des Gobelins,street,Paris,Île-de-France,France,0.850,Mentioned in the context of a demonstration.
Lieux,pdf,730,Tunisie,Tunisia,country,,,Tunisia,0.900,Mentioned in relation to Perec's travels.
Lieux,pdf,730,Tunis,Tunis,city,Tunis,Tunis,Tunisia,0.900,Referenced as part of Perec's travels in Tunisia.
Lieux,pdf,730,Carthage,Carthage,other,,,Tunisia,0.800,Mentioned in relation to an international film festival.
Lieux,pdf,730,Thonon-les-Bains,Thonon-les-Bains,city,Thonon-les-Bains,Auvergne-Rhône-Alpes,France,0.900,Referenced in relation to a film screening.
Lieux,pdf,730,aéroport de Genève,Aéroport de Genève,other,Genève,Genève,Switzerland,0.900,Mentioned as a point of transit.
Lieux,pdf,730,place d’Italie,Place d'Italie,landmark,Paris,Île-de-France,France,0.950,Referenced in relation to travel arrangements.
Lieux,pdf,731,Italie,italy,country,,,Italy,0.900,Referring to a large real estate operation that took place in Italy.
Lieux,pdf,731,place d’Italie,place d'italie,landmark,,,France,0.850,Mentioned in relation to a large operation between this landmark and the Seine.
Lieux,pdf,731,Seine,seine,river,,,France,0.800,The Seine river is referenced in connection with the place d’Italie.
Lieux,pdf,731,boulevard Vincent-Auriol,boulevard vincent-auriol,street,Paris,Île-de-France,France,0.900,Location of one of the towers named 'Cheops' which has a pyramidal base.
Lieux,pdf,731,boulevard Blanqui,boulevard blanqui,street,Paris,Île-de-France,France,0.850,Referenced as the location where Michel Rigout lived.
Lieux,pdf,731,rue Blainville,rue blainville,street,Paris,Île-de-France,France,0.850,Mentioned in context of where many of Perec's friends lived.
Lieux,pdf,731,avenue de Ségur,avenue de segur,street,Paris,Île-de-France,France,0.800,Cited in Perec's agenda related to the moving process.
Lieux,pdf,731,Souillac,souillac,city,Souillac,Occitanie,France,0.800,Referenced in context of a food item from a specific place.
Lieux,pdf,732,Bar du Pont-Royal,bar du pont-royal,landmark,Paris,Île-de-France,France,0.900,Mentioned as part of a relation description.
Lieux,pdf,735,rue Vilin,rue vilin,street,,,,0.800,Mention of the street where the cafes and other landmarks are located.
Lieux,pdf,735,rue Julien-Lacroix,rue julien-lacroix,street,,,,0.800,Mention of another street where soldiers are replacing workers.
Lieux,pdf,733,Belleville,Belleville,district,Paris,Île-de-France,France,0.900,Arrivé en métro de Jussieu jusqu’à Belleville
Lieux,pdf,733,rue des Couronnes,Rue des Couronnes,street,Paris,Île-de-France,France,0.800,Longé la rue des Couronnes (HLM terminés)
Lieux,pdf,733,Jussieu,Jussieu,district,Paris,Île-de-France,France,0.700,Arrivé en métro de Jussieu jusqu’à Belleville
Lieux,pdf,734,rue Julien-Lacroix,rue julien-lacroix,street,Paris,Île-de-France,France,0.900,Mentioned in the context of soldiers of the contingent.
Lieux,pdf,734,Paris,paris,city,Paris,Île-de-France,France,1.000,Referenced in official municipal bulletin.
Lieux,pdf,734,Paris 20e,paris 20e,district,Paris,Île-de-France,France,0.800,Mentioned in context of creating a public space.
Lieux,pdf,736,Saint-Louis,Saint-Louis,district,Paris,Île-de-France,France,0.900,Mentioned as a notable location where memories are associated.
Lieux,pdf,736,rue Saint-Louis-en-l’Île,Rue Saint-Louis-en-l'Île,street,Paris,Île-de-France,France,0.900,Exact name noted in context related to the memories of the author.
Lieux,pdf,736,île Saint-Louis,Île Saint-Louis,natural_feature,Paris,Île-de-France,France,0.900,Mentioned as a place linked to personal memories.
Lieux,pdf,738,avenue d’Italie,Avenue d'Italie,street,,,France,0.900,Reference to a street where shops are located.
Lieux,pdf,738,Rue Bobillot,Rue Bobillot,street,,,France,0.900,Mention of a street where works have begun.
Lieux,pdf,738,Institut néerlandais,Institut Néerlandais,building,Amsterdam,,Netherlands,0.700,A mention of a cultural institute in the context of an event.
Lieux,pdf,738,Modes de Paris,Modes de Paris,other,,,France,0.600,Reference to a publication advertised in the Kiosk.
Lieux,pdf,737,ITALIE,Italie,country,,,Italy,0.900,Mentioned as a location in the text.
Lieux,pdf,737,Place d’Italie,Place d'Italie,landmark,Paris,Île-de-France,France,0.950,A specific place mentioned in connection with a café.
Lieux,pdf,737,rue Linné,Rue Linné,street,Paris,Île-de-France,France,0.850,Mentioned as part of the author's walking journey.
Lieux,pdf,737,avenue des Gobelins,Avenue des Gobelins,street,Paris,Île-de-France,France,0.850,Referenced in connection with cinemas.
Lieux,pdf,737,avenue de Choisy,Avenue de Choisy,street,Paris,Île-de-France,France,0.850,Mentioned in the description of the surroundings.
Lieux,pdf,737,avenue d’Italie,Avenue d'Italie,street,Paris,Île-de-France,France,0.850,Part of the description surrounding the bus stop.
Lieux,pdf,737,rue Bobillot,Rue Bobillot,street,Paris,Île-de-France,France,0.850,Related to the area around the kiosk.
Lieux,pdf,737,avenue de la Sœur-Rosalie,Avenue de la Sœur-Rosalie,street,Paris,Île-de-France,France,0.850,Mentioned as the location of Air France cars.
Lieux,pdf,737,Théâtre de la Madeleine,Théâtre de la Madeleine,landmark,Paris,Île-de-France,France,0.900,Inferred from the partial mention of 'Madeleine'.
Lieux,pdf,740,Ljubljana,Ljubljana,city,Ljubljana,,Slovenia,0.900,colloque d’écrivains à Ljubljana en Yougoslavie
Lieux,pdf,740,Yougoslavie,Yugoslavia,country,,,Yugoslavia,0.800,colloque d’écrivains à Ljubljana en Yougoslavie
Lieux,pdf,740,Bruxelles,Brussels,city,Brussels,,Belgium,0.900,hommage rendu à Queneau par l’Oulipo lors des Europalia de Bruxelles
Lieux,pdf,740,Sarrebruck,Saarbrücken,city,Saarbrücken,,Germany,0.900,radio sarroise à Sarrebruck
Lieux,pdf,739,Brasserie “Le Rozes”,brasserie le rozes,building,,,,0.700,A mention of a brasserie called “Le Rozes”.
Lieux,pdf,739,place d’Italie,place d'italie,landmark,Paris,Île-de-France,France,0.900,A reference to place d’Italie in Paris.
Lieux,pdf,739,Montparnasse,montparnasse,district,Paris,Île-de-France,France,0.800,A reference to the district of Montparnasse in Paris.
Lieux,pdf,739,rue de la Gaîté,rue de la gaitee,street,Paris,Île-de-France,France,0.850,A mention of the street rue de la Gaîté in Paris.
Lieux,pdf,739,rue Vilin,rue vilin,street,Paris,Île-de-France,France,0.850,A reference to the street rue Vilin in Paris.
Lieux,pdf,741,Italie,italy,country,,,Italy,0.900,Mentioned in relation to the publication of 'réels' from the country.
Lieux,pdf,742,Saint-Dyé-sur-Loire,Saint-Dyé-sur-Loire,city,Saint-Dyé-sur-Loire,,France,0.950,Mentioned with a specific date and time.
Lieux,pdf,746,métro Gaîté,Metro Gaite,other,Paris,Île-de-France,France,0.800,The text refers to a metro station in Paris.
Lieux,pdf,746,métro Edgar-Quinet,Metro Edgar Quinet,other,Paris,Île-de-France,France,0.800,The text mentions a specific metro station in Paris.
Lieux,pdf,746,rue du Montparnasse,Rue du Montparnasse,street,Paris,Île-de-France,France,0.900,The text specifies a street in Paris.
Lieux,pdf,746,rue Vilin,Rue Vilin,street,Paris,Île-de-France,France,0.700,The text references a street in Paris.
Lieux,pdf,745,Gaîté Montparnasse,Gaite Montparnasse,landmark,Paris,Île-de-France,France,0.900,Mentioned in relation to a piece of theater.
Lieux,pdf,745,Théâtre Montparnasse Gaston Baty,Theatre Montparnasse Gaston Baty,landmark,Paris,Île-de-France,France,0.900,Referenced as a place where plays are performed.
Lieux,pdf,745,avenue du Maine,Avenue du Maine,street,Paris,Île-de-France,France,0.800,Described as location of a café favored by a character.
Lieux,pdf,745,Faubourg-Saint-Antoine,Faubourg Saint Antoine,district,Paris,Île-de-France,France,0.850,Mentioned in context of cinema programs.
Lieux,pdf,744,Gaîté,Gaite,street,Paris,Île-de-France,France,0.900,Le métro Gaîté se trouve au croisement de plusieurs rues.
Lieux,pdf,744,boulevard Edgar-Quinet,Boulevard Edgar Quinet,street,Paris,Île-de-France,France,0.950,Boulevard Edgar-Quinet il y a un grand quincailler.
Lieux,pdf,744,rue Delambre,Rue Delambre,street,Paris,Île-de-France,France,0.950,"Rue Delambre: « Le Rosebud », un restaurant japonais."
Lieux,pdf,744,rue du Montparnasse,Rue du Montparnasse,street,Paris,Île-de-France,France,0.950,Rue du Montparnasse: rarement prise.
Lieux,pdf,744,rue d’Odessa,Rue d'Odessa,street,Paris,Île-de-France,France,0.950,"Rue d’Odessa: tout en bas, un cinéma."
Lieux,pdf,744,rue de la Gaîté,Rue de la Gaite,street,Paris,Île-de-France,France,0.950,il y a aussi un glacier rue de la Gaîté.
Lieux,pdf,749,Montmartre,montmartre,district,Paris,Île-de-France,France,0.900,Mention of a pharmacy central to Montmartre.
Lieux,pdf,749,rue Caulaincourt,rue caulaincourt,street,Paris,Île-de-France,France,0.900,Street involved in canalization work.
Lieux,pdf,750,Garage Junot,garage junot,building,,,,0.800,Mentioned as a specific location in the text.
Lieux,pdf,750,Laverie Junot,laverie junot,building,,,,0.800,Referencing a laundry service specifically named.
Lieux,pdf,750,statue d’Eugène Carrière,statue d'eugène carriere,landmark,,,,0.700,Mentioned as a notable statue in the area.
Lieux,pdf,747,Ljubljana,ljubljana,city,Ljubljana,,Slovenia,0.900,Mentioned as a location of a writer's conference.
Lieux,pdf,747,Yougoslavie,yugoslavia,country,,,Yugoslavia,0.850,Referenced in connection with Ljubljana.
Lieux,pdf,747,Bruxelles,brussels,city,Brussels,Brussels-Capital Region,Belgium,0.900,Mentioned in relation to the Oulipo tribute to Queneau.
Lieux,pdf,747,Sarrebruck,saarbrücken,city,Saarbrücken,Saarland,Germany,0.900,Mentioned as a location for a radio reading.
Lieux,pdf,747,Chambord,chambord,other,Chambord,Loir-et-Cher,France,0.800,Mentioned in connection with a residence secondary owned by Jacqueline de Guitaut.
Lieux,pdf,751,place Jussieu,place jussieu,landmark,Paris,Île-de-France,France,0.900,The narrator passes by place Jussieu every day on their way to work.
Lieux,pdf,751,hôpital Saint-Antoine,hopital saint-antoine,building,Paris,Île-de-France,France,0.900,The narrator mentions buying cigarettes at a tobacco shop in front of hôpital Saint-Antoine.
Lieux,pdf,751,Laiterie Parisienne,laiterie parisienne,building,Paris,Île-de-France,France,0.800,The narrator buys groceries at Laiterie Parisienne on certain days.
Lieux,pdf,751,rue Linné,rue linne,street,Paris,Île-de-France,France,0.800,The narrator mentions the street where the Laiterie Parisienne is located.
Lieux,pdf,754,Berlin,Berlin,city,Berlin,,Germany,0.950,Mentioned as a reference point for a type of pastry.
Lieux,pdf,754,Exeter,Exeter,city,Exeter,,United Kingdom,0.900,Referenced in relation to a painting by Perec.
Lieux,pdf,752,rue Linné,rue linne,street,,,,0.800,Je longe en général le trottoir impair de la rue Linné.
Lieux,pdf,752,rue Jussieu,rue jussieu,street,,,,0.800,Je longe en général ... de la rue Jussieu.
Lieux,pdf,752,place Jussieu,place jussieu,landmark,,,,0.800,Peu de souvenirs : rencontré par hasard Anne André ... passe par la place Jussieu.
Lieux,pdf,752,rue des Boulangers,rue des boulangers,street,,,,0.800,A[nne] A[ndré] habite rue des Boulangers.
Lieux,pdf,752,Friterie,friterie,other,,,,0.500,Restaurants : – Friterie plutôt dégueulasse.
Lieux,pdf,752,Le Buisson Ardent,le buisson ardent,other,,,,0.700,« Le Buisson Ardent » : y mange très régulièrement.
Lieux,pdf,752,Les Savoyards,les savoyards,other,,,,0.700,"« Les Savoyards », rue des Boulangers : très fréquenté."
Lieux,pdf,753,rue des Boulangers,Rue des Boulangers,street,,,,0.800,Mentioned in relation to dining experiences.
Lieux,pdf,753,rue Linné,Rue Linné,street,,,,0.800,Used as a reference for a local pizza place.
Lieux,pdf,753,place Jussieu,Place Jussieu,landmark,,,,0.700,Mentioned in relation to a historical clocks installation.
Lieux,pdf,753,Buisson Ardent,Buisson Ardent,other,,,,0.700,Referred to as a place where the author and friends dined.
Lieux,pdf,753,L’Évêché d’Exeter,L'Évêché d'Exeter,other,,,,0.600,Mentioned in the context of an artwork brought by a friend.
Lieux,pdf,755,L’Évêché d’Exeter,l'evêché d'exeter,landmark,Exeter,,United Kingdom,0.900,Mentioned as a location where a breakfast gathering occurred.
Lieux,pdf,755,Buisson ardent,buisson ardent,other,,,,0.500,Referenced as a place where breakfast was held.
Lieux,pdf,756,rue de Boulainvilliers,Rue de Boulainvilliers,street,Paris,Île-de-France,France,0.900,Mentioned as a street with traffic regulations.
Lieux,pdf,756,Palais des Congrès,Palais des Congrès,building,Paris,Île-de-France,France,0.900,Venue mentioned in reference to a concert.
Lieux,pdf,756,Esmeralda Saloon,Esmeralda Saloon,other,,,,0.500,Mentioned in relation to advertising.
Lieux,pdf,757,Grèce,Greece,country,,,Greece,0.900,Mentioned in a list of places.
Lieux,pdf,757,Turquie,Turkey,country,,,Turkey,0.900,Mentioned in a list of places.
Lieux,pdf,757,Inde,India,country,,,India,0.900,Mentioned in a list of places.
Lieux,pdf,757,Népal,Nepal,country,,,Nepal,0.900,Mentioned in a list of places.
Lieux,pdf,757,Pont de Grenelle,Pont de Grenelle,landmark,,,,0.800,Mentioned in the context of signage.
Lieux,pdf,761,Assomption,Assomption,district,Paris,Île-de-France,France,0.900,Mentioned as part of an address related to memories.
Lieux,pdf,761,rue de l’Assomption,rue de l'Assomption,street,Paris,Île-de-France,France,0.950,The street where the apartment is located.
Lieux,pdf,758,avenue Mozart,Avenue Mozart,street,,,,0.800,Mentioned in relation to taking the metro.
Lieux,pdf,758,Charonne,Charonne,district,Paris,Île-de-France,France,0.900,Going to take the metro until Charonne.
Lieux,pdf,758,rue de Boulainvilliers,Rue de Boulainvilliers,street,Paris,Île-de-France,France,0.900,Visit starts near Rue de Boulainvilliers.
Lieux,pdf,758,Maison de la Radio,Maison de la Radio,landmark,Paris,Île-de-France,France,0.900,"Nearby the street mentioned, a notable building."
Lieux,pdf,758,Maison de l’ORTF,Maison de l'ORTF,building,Paris,Île-de-France,France,0.800,Frequently referred to in the context of the radio.
Lieux,pdf,758,rue de l’Assomption,Rue de l'Assomption,street,Paris,Île-de-France,France,0.900,A corner mentioned with rue de Boulainvilliers.
Lieux,pdf,759,boulevard de Clichy,boulevard de clichy,street,Paris,Île-de-France,France,0.900,Located near the place Pigalle.
Lieux,pdf,759,place Pigalle,place pigalle,landmark,Paris,Île-de-France,France,0.900,Referenced as a location near the boulevard de Clichy.
Lieux,pdf,759,rue Gudin,rue gudin,street,Paris,Île-de-France,France,0.800,Location of the now-disappeared cinema 'Les Trois Murat'.
Lieux,pdf,759,boulevard Murat,boulevard murat,street,Paris,Île-de-France,France,0.800,Located near rue Gudin in the sixteenth arrondissement.
Lieux,pdf,759,station Ranelagh,station ranelagh,other,Paris,Île-de-France,France,0.800,Mentioned in relation to taking the metro.
Lieux,pdf,759,CHU Saint-Antoine,chu saint-antoine,building,Paris,Île-de-France,France,0.700,"Where Perec works, mentioned in the context of metro transportation."
Lieux,pdf,759,rue de l’Assomption,rue de l'assomption,street,Paris,Île-de-France,France,0.700,Referenced in the context of the publication of 'réels'.
Lieux,pdf,766,Rue Vineuse,Rue Vineuse,street,,,,0.900,Mentioned as part of the location description.
Lieux,pdf,766,Trocadéro,Trocadéro,landmark,Paris,Île-de-France,France,0.950,Referencing a known location in Paris.
Lieux,pdf,766,Alma,Alma,other,Paris,Île-de-France,France,0.850,Part of the same contextual reference.
Lieux,pdf,766,Pont-Neuf,Pont-Neuf,landmark,Paris,Île-de-France,France,0.950,Mentioned among well-known places.
Lieux,pdf,766,Place du Théâtre-Français,Place du Théâtre-Français,landmark,Paris,Île-de-France,France,0.900,A location significant for its cultural importance.
Lieux,pdf,766,rue Saint-Honoré,Rue Saint-Honoré,street,Paris,Île-de-France,France,0.950,A major street referenced in relation to various businesses.
Lieux,pdf,766,rue des Pyramides,Rue des Pyramides,street,Paris,Île-de-France,France,0.900,Intersecting with rue Saint-Honoré.
Lieux,pdf,766,Coin rue Saint-Roch,Coin rue Saint-Roch,street,Paris,Île-de-France,France,0.850,Location mentioned in the context of activity in the area.
Lieux,pdf,763,New York,New York,city,New York,New York,United States,0.950,Mentioned in relation to a visit before going to Canada.
Lieux,pdf,763,Montréal,Montreal,city,Montreal,Quebec,Canada,0.950,Perec traveled to Montreal for a two-week stay in 1975.
Lieux,pdf,763,Canada,Canada,country,,,Canada,0.900,Referenced as the country Perec intended to visit.
Lieux,pdf,763,Paris,Paris,city,Paris,Ile-de-France,France,0.950,Noted as Perec's return location after his trip.
Lieux,pdf,767,rue Vineuse,Rue Vineuse,street,,seizième arrondissement,France,0.900,La rue Vineuse dans le seizième arrondissement est celle où habite alors Catherine Binet.
Lieux,pdf,767,Venise,Venice,city,Venice,,Italy,0.950,"En septembre 1975, Perec et Catherine Binet séjournèrent en effet à Venise."
Lieux,pdf,768,Venise,Venice,city,Venice,Veneto,Italy,0.900,Mentioned in relation to an international film festival.
Lieux,pdf,768,place André-Malraux,Place André-Malraux,landmark,,,,0.600,Mentioned as a location today.
Lieux,pdf,764,Louvre,louvre,building,Paris,Île-de-France,France,0.900,Jean Le Moal avait commencé sa carrière en copiant des toiles au Louvre.
Lieux,pdf,764,Vatican,vatican,country,,,Vatican City,0.800,mention de stations aux noms exotiques ou mystérieux – ... Vatican
Lieux,pdf,764,Kerguelen,kerguelen,other,,,France,0.700,mention de stations aux noms exotiques ou mystérieux – ... Kerguelen
Lieux,pdf,764,Monte Ceneri,monte ceneri,other,,,Switzerland,0.700,mention de stations aux noms exotiques ou mystérieux – ... Monte Ceneri
Lieux,pdf,764,Bergen,bergen,city,Bergen,Vestland,Norway,0.800,mention de stations aux noms exotiques ou mystérieux – ... Bergen
Lieux,pdf,764,Tromsø,tromsø,city,Tromsø,Troms og Finnmark,Norway,0.800,mention de stations aux noms exotiques ou mystérieux – ... Tromsø
Lieux,pdf,764,Bari,bari,city,Bari,Puglia,Italy,0.800,mention de stations aux noms exotiques ou mystérieux – ... Bari
Lieux,pdf,764,Tanger,tanger,city,Tanger,,Morocco,0.800,mention de stations aux noms exotiques ou mystérieux – ... Tanger
Lieux,pdf,764,Falun,falun,city,Falun,Dalarna,Sweden,0.800,mention de stations aux noms exotiques ou mystérieux – ... Falun
Lieux,pdf,764,Hörby,hörby,city,Hörby,Skåne,Sweden,0.800,mention de stations aux noms exotiques ou mystérieux – ... Hörby
Lieux,pdf,764,Beromünster,beromünster,city,Beromünster,Lucerne,Switzerland,0.800,mention de stations aux noms exotiques ou mystérieux – ... Beromünster
Lieux,pdf,764,Pouzzoles,pouzzoles,city,,,Italy,0.600,mention de stations aux noms exotiques ou mystérieux – ... Pouzzoles
Lieux,pdf,764,Mascate,mascate,city,Muscat,,Oman,0.700,mention de stations aux noms exotiques ou mystérieux – ... Mascate
Lieux,pdf,764,Amara,amara,city,,,,0.500,mention de stations aux noms exotiques ou mystérieux – ... Amara
Lieux,pdf,769,rue Saint-Honoré,rue saint-honore,street,Paris,Île-de-France,France,0.900,Mentioned as a location where the author bought alcohol.
Lieux,pdf,769,rue des Pyramides,rue des pyramides,street,Paris,Île-de-France,France,0.900,Mentioned as another street where the author visited a store.
Lieux,pdf,769,abbaye de Royaumont,abbaye de royaumont,landmark,Aubignan,Île-de-France,France,0.800,Mentioned in relation to a potential job as a librarian.
Lieux,pdf,770,Neuweiler,Neuweiler,other,,Sarre,Germany,0.900,Neuweiler est un village de la Sarre où demeurait Eugen Helmlé.
Lieux,pdf,770,Saarländischer Rundfunk,Saarländischer Rundfunk,other,,,Germany,0.800,Perec s’y rendit du 5 au 7 juin 1975 à l’invitation de la Saarländischer Rundfunk.
Lieux,pdf,770,Royaumont,Royaumont,other,,,France,0.700,"Pour Royaumont, voir le texte 28, n. 8."
Lieux,pdf,772,rue Linné,Rue Linne,street,Paris,Île-de-France,France,0.900,"Located in Paris, it is where the editions Galilée were situated."
Lieux,pdf,773,Écosse,Ecossia,country,,,United Kingdom,0.900,Mentioned in relation to a memory of finding an object.
Lieux,pdf,775,Neuweiler,Neuweiler,other,,,,0.900,"Perec se trouve à Neuweiler, chez Eugen Helmlé."
Lieux,pdf,771,Place Jussieu,place jussieu,landmark,Paris,Île-de-France,France,0.900,Mentioned as a location where events are taking place.
Lieux,pdf,771,Amsterdam,amsterdam,city,Amsterdam,North Holland,Netherlands,0.950,Referenced in the context of a week-end.
Lieux,pdf,771,Linné-Boulangers,linne-boulangers,street,Paris,Île-de-France,France,0.800,Corner mentioned in the context of a location with advertisements.
Lieux,pdf,771,Fac des sciences,fac des sciences,building,Paris,Île-de-France,France,0.850,Mentioned as a location where a specific inscription is found.
Lieux,pdf,771,métro Jussieu,metro jussieu,building,Paris,Île-de-France,France,0.900,Reference to a subway station where construction is taking place.
Lieux,pdf,774,Sacré-Cœur,sacre coeur,landmark,Paris,Île-de-France,France,0.900,Mention of the landmark in Montmartre.
Lieux,pdf,774,Montmartre,montmartre,district,Paris,Île-de-France,France,0.900,Reference to the district where Sacré-Cœur is located.
Lieux,pdf,774,Boston,boston,city,Boston,Massachusetts,United States,0.800,Mention of a location lived in by a referenced person.
Lieux,pdf,774,États-Unis,united states,country,,,United States,0.900,Country reference in relation to the person from Boston.
Lieux,pdf,780,rue Vilin,rue vilin,street,,,,0.800,Perec parle sans doute ici des souvenirs de la rue Vilin.
Lieux,pdf,780,Montréal,montreal,city,Montréal,Québec,Canada,0.900,"entretien avec Réginald Martel intitulé « Pour Georges Perec, le banal est explosif », La Presse (Montréal), 2 juin 1979."
Lieux,pdf,783,Montparnasse,Montparnasse,district,Paris,Île-de-France,France,0.900,Mentioned in relation to the location of the Sheraton hotel and metro stations.
Lieux,pdf,783,la rue Vercingétorix,Rue Vercingétorix,street,Paris,Île-de-France,France,0.800,Referenced as being near the Sheraton hotel.
Lieux,pdf,783,la rue de la Gaîté,Rue de la Gaîté,street,Paris,Île-de-France,France,0.800,Mentioned in relation to theatre locations.
Lieux,pdf,779,Franklin-Roosevelt,Franklin-Roosevelt,other,Paris,Île-de-France,France,0.900,The author intends to go to Franklin-Roosevelt to refresh their ideas.
Lieux,pdf,779,Champs-Élysées,Champs-Élysées,street,Paris,Île-de-France,France,0.900,The author mentions they rarely go to the Champs-Élysées.
Lieux,pdf,779,Jussieu,Jussieu,other,Paris,Île-de-France,France,0.800,The author revisits Jussieu.
Lieux,pdf,779,rue Vilin,Rue Vilin,street,Paris,Île-de-France,France,0.800,The author reflects on memories associated with rue Vilin.
Lieux,pdf,779,avenue de Ségur,Avenue de Ségur,street,Paris,Île-de-France,France,0.700,"The author considers the idea of a thirteenth place, avenue de Ségur."
Lieux,pdf,779,Bac-Saint-Germain,Bac-Saint-Germain,other,,,France,0.500,Bac-Saint-Germain is mentioned as a potential thirteenth place.
Lieux,pdf,782,Rue de la Gaîté,rue de la gaîté,street,,,,0.900,Mentioned as part of a larger description of the area.
Lieux,pdf,782,Avenue du Maine,avenue du maine,street,,,,0.900,Described as the location of a future center commercial.
Lieux,pdf,782,Sheraton,sheraton,building,,,,0.800,Referenced as being behind a future commercial center.
Lieux,pdf,782,Rue Vercingétorix,rue vercingétorix,street,,,,0.900,Mentioned as a street that is now a vestige.
Lieux,pdf,782,Maine-Vercingétorix,maine-vercingétorix,other,,,,0.800,Referenced as a corner where a hardware store is located.
Lieux,pdf,784,Montparnasse,Montparnasse,district,Paris,Île-de-France,France,0.950,Reference to Montparnasse as a location associated with the cultural scene in Paris.
Lieux,pdf,784,Paris,Paris,city,Paris,Île-de-France,France,1.000,Mention of Paris as the place where Brazilian actors had to exile due to military dictatorship.
Lieux,pdf,784,rue de la Gaîté,Rue de la Gaîté,street,Paris,Île-de-France,France,0.900,Reference to the publication of 'réels' located on rue de la Gaîté.
Lieux,pdf,787,Saint-André-des-Arts,Saint-andré-des-arts,street,Paris,Île-de-France,France,0.900,A cinema that has become the 'Saint-André-des-Arts' in the street of the same name.
Lieux,pdf,787,rue Gît-le-Cœur,rue gît-le-cœur,street,Paris,Île-de-France,France,0.900,Mentioned as the corner of the street where the 'Studio Gît-le-Cœur' is located.
Lieux,pdf,787,Orange,orange,city,Orange,Provence-Alpes-Côte d'Azur,France,0.850,The Orange Rock Festival took place in the ancient theater of Orange.
Lieux,pdf,786,Rue Linné,Rue Linne,street,,,,0.800,Street mentioned in a café location.
Lieux,pdf,786,Rue du Cardinal-Lemoine,Rue du Cardinal Lemoine,street,,,,0.800,Street with a patisserie specializing in Tunisian cuisine.
Lieux,pdf,786,Place de La Contrescarpe,Place de La Contrescarpe,landmark,,,,0.800,A place mentioned with a location context.
Lieux,pdf,786,Rue Lacépède,Rue Lacepede,street,,,,0.800,Street with a café reference.
Lieux,pdf,786,Rue Mouffetard,Rue Mouffetard,street,,,,0.800,Mentioned with a charcuterie location.
Lieux,pdf,786,Île de Crète,Ile de Crete,other,,,Greece,0.900,Reference to a restaurant named after the island.
Lieux,pdf,793,rue Vilin,Rue Vilin,street,,,,0.900,Mentioned in the context of publication of 'réels'.
Lieux,pdf,796,Paris,paris,city,Paris,Île-de-France,France,0.950,Mentioned multiple times in relation to works published and the author's correspondence.
Lieux,pdf,796,La rue Vilin,la rue vilin,street,Paris,Île-de-France,France,0.850,Cited as a title in the work 'W ou le souvenir d’enfance'.
Lieux,pdf,797,Paris,Paris,city,Paris,Île-de-France,France,1.000,Mentioned in relation to literary works and projects.
